,year,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
0,1956,,,,
1,1956,,,,
2,1956,,,,
3,1956,,,,
4,1956,,,,
5,1956,,,,
6,1956,,,,
7,1956,,,,
8,1956,,,,
9,1956,,,,
10,1956,,,,
11,1956,,,,
12,1957,,,,
13,1957,,,,
14,1957,,,,
15,1957,,,,
16,1957,,,,
17,1957,,,,
18,1957,,,,
19,1957,,,,
20,1957,,,,
21,1957,,,,
22,1958,,,,
23,1958,,,,
24,1958,,,,
25,1958,,,,
26,1958,,,,
27,1958,,,,
28,1958,,,,
29,1958,,,,
30,1958,,,,
31,1958,,,,
32,1959,,,,
33,1959,,,,
34,1959,,,,
35,1959,,,,
36,1959,,,,
37,1959,,,,
38,1959,,,,
39,1959,,,,
40,1959,,,,
41,1959,,,,
42,1959,,,,
43,1960,,,,
44,1960,,,,
45,1960,,,,
46,1960,,,,
47,1960,,,,
48,1960,,,,
49,1960,,,,
50,1960,,,,
51,1960,,,,
52,1960,,,,
53,1960,,,,
54,1960,,,,
55,1960,,,,
56,1961,,,,
57,1961,,,,
58,1961,,,,
59,1961,,,,
60,1961,,,,
61,1961,,,,
62,1961,,,,
63,1961,,,,
64,1961,,,,
65,1961,,,,
66,1961,,,,
67,1961,,,,
68,1961,,,,
69,1961,,,,
70,1961,,,,
71,1961,,,,
72,1962,,,,
73,1962,,,,
74,1962,,,,
75,1962,,,,
76,1962,,,,
77,1962,,,,
78,1962,,,,
79,1962,,,,
80,1962,,,,
81,1962,,,,
82,1962,,,,
83,1962,,,,
84,1962,,,,
85,1962,,,,
86,1962,,,,
87,1962,,,,
88,1963,,,,
89,1963,,,,
90,1963,,,,
91,1963,,,,
92,1963,,,,
93,1963,,,,
94,1963,,,,
95,1963,,,,
96,1963,,,,
97,1963,,,,
98,1963,,,,
99,1963,,,,
100,1963,,,,
101,1963,,,,
102,1963,,,,
103,1963,,,,
104,1964,,,,
105,1964,,,,
106,1964,,,,
107,1964,,,,
108,1964,,,,
109,1964,,,,
110,1964,,,,
111,1964,,,,
112,1964,,,,
113,1964,,,,
114,1964,,,,
115,1964,,,,
116,1964,,,,
117,1964,,,,
118,1964,,,,
119,1964,,,,
120,1965,,,,
121,1965,,,,
122,1965,,,,
123,1965,,,,
124,1965,,,,
125,1965,,,,
126,1965,,,,
127,1965,,,,
128,1965,,,,
129,1965,,,,
130,1965,,,,
131,1965,,,,
132,1965,,,,
133,1965,,,,
134,1965,,,,
135,1965,,,,
136,1965,,,,
137,1965,,,,
138,1966,,,,
139,1966,,,,
140,1966,,,,
141,1966,,,,
142,1966,,,,
143,1966,,,,
144,1966,,,,
145,1966,,,,
146,1966,,,,
147,1966,,,,
148,1966,,,,
149,1966,,,,
150,1966,,,,
151,1966,,,,
152,1966,,,,
153,1966,,,,
154,1966,,,,
155,1966,,,,
156,1967,,,,
157,1967,,,,
158,1967,,,,
159,1967,,,,
160,1967,,,,
161,1967,,,,
162,1967,,,,
163,1967,,,,
164,1967,,,,
165,1967,,,,
166,1967,,,,
167,1967,,,,
168,1967,,,,
169,1967,,,,
170,1967,,,,
171,1967,,,,
172,1967,,,,
173,1968,,,,
174,1968,,,,
175,1968,,,,
176,1968,,,,
177,1968,,,,
178,1968,,,,
179,1968,,,,
180,1968,,,,
181,1968,,,,
182,1968,,,,
183,1968,,,,
184,1968,,,,
185,1968,,,,
186,1968,,,,
187,1968,,,,
188,1968,,,,
189,1968,,,,
190,1969,,,,
191,1969,,,,
192,1969,,,,
193,1969,,,,
194,1969,,,,
195,1969,,,,
196,1969,,,,
197,1969,,,,
198,1969,,,,
199,1969,,,,
200,1969,,,,
201,1969,,,,
202,1969,,,,
203,1969,,,,
204,1969,,,,
205,1969,,,,
206,1970,,,,
207,1970,,,,
208,1970,,,,
209,1970,,,,
210,1970,,,,
211,1970,,,,
212,1970,,,,
213,1970,,,,
214,1970,,,,
215,1970,,,,
216,1970,,,,
217,1970,,,,
218,1971,,,,
219,1971,,,,
220,1971,,,,
221,1971,,,,
222,1971,,,,
223,1971,,,,
224,1971,,,,
225,1971,,,,
226,1971,,,,
227,1971,,,,
228,1971,,,,
229,1971,,,,
230,1971,,,,
231,1971,,,,
232,1971,,,,
233,1971,,,,
234,1971,,,,
235,1971,,,,
236,1972,,,,
237,1972,,,,
238,1972,,,,
239,1972,,,,
240,1972,,,,
241,1972,,,,
242,1972,,,,
243,1972,,,,
244,1972,,,,
245,1972,,,,
246,1972,,,,
247,1972,,,,
248,1972,,,,
249,1972,,,,
250,1972,,,,
251,1972,,,,
252,1972,,,,
253,1972,,,,
254,1973,,,,
255,1973,,,,
256,1973,,,,
257,1973,,,,
258,1973,,,,
259,1973,,,,
260,1973,,,,
261,1973,,,,
262,1973,,,,
263,1973,,,,
264,1973,,,,
265,1973,,,,
266,1973,,,,
267,1973,,,,
268,1973,,,,
269,1973,,,,
270,1973,,,,
271,1974,,,,
272,1974,,,,
273,1974,,,,
274,1974,,,,
275,1974,,,,
276,1974,,,,
277,1974,,,,
278,1974,,,,
279,1974,,,,
280,1974,,,,
281,1974,,,,
282,1974,,,,
283,1974,,,,
284,1974,,,,
285,1974,,,,
286,1974,,,,
287,1974,,,,
288,1975,,,,
289,1975,,,,
290,1975,,,,
291,1975,,,,
292,1975,,,,
293,1975,,,,
294,1975,,,,
295,1975,,,,
296,1975,,,,
297,1975,,,,
298,1975,,,,
299,1975,,,,
300,1975,,,,
301,1975,,,,
302,1975,,,,
303,1975,,,,
304,1975,,,,
305,1975,,,,
306,1975,,,,
307,1976,,,,
308,1976,,,,
309,1976,,,,
310,1976,,,,
311,1976,,,,
312,1976,,,,
313,1976,,,,
314,1976,,,,
315,1976,,,,
316,1976,,,,
317,1976,,,,
318,1976,,,,
319,1976,,,,
320,1976,,,,
321,1976,,,,
322,1976,,,,
323,1976,,,,
324,1976,,,,
325,1977,,,,
326,1977,,,,
327,1977,,,,
328,1977,,,,
329,1977,,,,
330,1977,,,,
331,1977,,,,
332,1977,,,,
333,1977,,,,
334,1977,,,,
335,1977,,,,
336,1977,,,,
337,1977,,,,
338,1977,,,,
339,1977,,,,
340,1977,,,,
341,1977,,,,
342,1977,,,,
343,1978,,,,
344,1978,,,,
345,1978,,,,
346,1978,,,,
347,1978,,,,
348,1978,,,,
349,1978,,,,
350,1978,,,,
351,1978,,,,
352,1978,,,,
353,1978,,,,
354,1978,,,,
355,1978,,,,
356,1978,,,,
357,1978,,,,
358,1978,,,,
359,1978,,,,
360,1978,,,,
361,1978,,,,
362,1978,,,,
363,1979,,,,
364,1979,,,,
365,1979,,,,
366,1979,,,,
367,1979,,,,
368,1979,,,,
369,1979,,,,
370,1979,,,,
371,1979,,,,
372,1979,,,,
373,1979,,,,
374,1979,,,,
375,1979,,,,
376,1979,,,,
377,1979,,,,
378,1979,,,,
379,1979,,,,
380,1979,,,,
381,1979,,,,
382,1980,,,,
383,1980,,,,
384,1980,,,,
385,1980,,,,
386,1980,,,,
387,1980,,,,
388,1980,,,,
389,1980,,,,
390,1980,,,,
391,1980,,,,
392,1980,,,,
393,1980,,,,
394,1980,,,,
395,1980,,,,
396,1980,,,,
397,1980,,,,
398,1980,,,,
399,1980,,,,
400,1980,,,,
401,1981,,,,
402,1981,,,,
403,1981,,,,
404,1981,,,,
405,1981,,,,
406,1981,,,,
407,1981,,,,
408,1981,,,,
409,1981,,,,
410,1981,,,,
411,1981,,,,
412,1981,,,,
413,1981,,,,
414,1981,,,,
415,1981,,,,
416,1981,,,,
417,1981,,,,
418,1981,,,,
419,1981,,,,
420,1981,,,,
421,1982,,,,
422,1982,,,,
423,1982,,,,
424,1982,,,,
425,1982,,,,
426,1982,,,,
427,1982,,,,
428,1982,,,,
429,1982,,,,
430,1982,,,,
431,1982,,,,
432,1982,,,,
433,1982,,,,
434,1982,,,,
435,1982,,,,
436,1982,,,,
437,1982,,,,
438,1982,,,,
439,1983,,,,
440,1983,,,,
441,1983,,,,
442,1983,,,,
443,1983,,,,
444,1983,,,,
445,1983,,,,
446,1983,,,,
447,1983,,,,
448,1983,,,,
449,1983,,,,
450,1983,,,,
451,1983,,,,
452,1983,,,,
453,1983,,,,
454,1983,,,,
455,1983,,,,
456,1983,,,,
457,1983,,,,
458,1983,,,,
459,1984,,,,
460,1984,,,,
461,1984,,,,
462,1984,,,,
463,1984,,,,
464,1984,,,,
465,1984,,,,
466,1984,,,,
467,1984,,,,
468,1984,,,,
469,1984,,,,
470,1984,,,,
471,1984,,,,
472,1984,,,,
473,1984,,,,
474,1984,,,,
475,1984,,,,
476,1984,,,,
477,1984,,,,
478,1985,,,,
479,1985,,,,
480,1985,,,,
481,1985,,,,
482,1985,,,,
483,1985,,,,
484,1985,,,,
485,1985,,,,
486,1985,,,,
487,1985,,,,
488,1985,,,,
489,1985,,,,
490,1985,,,,
491,1985,,,,
492,1985,,,,
493,1985,,,,
494,1985,,,,
495,1985,,,,
496,1985,,,,
497,1986,,,,
498,1986,,,,
499,1986,,,,
500,1986,,,,
501,1986,,,,
502,1986,,,,
503,1986,,,,
504,1986,,,,
505,1986,,,,
506,1986,,,,
507,1986,,,,
508,1986,,,,
509,1986,,,,
510,1986,,,,
511,1986,,,,
512,1986,,,,
513,1986,,,,
514,1986,,,,
515,1986,,,,
516,1986,,,,
517,1987,,,,
518,1987,,,,
519,1987,,,,
520,1987,,,,
521,1987,,,,
522,1987,,,,
523,1987,,,,
524,1987,,,,
525,1987,,,,
526,1987,,,,
527,1987,,,,
528,1987,,,,
529,1987,,,,
530,1987,,,,
531,1987,,,,
532,1987,,,,
533,1987,,,,
534,1987,,,,
535,1987,,,,
536,1987,,,,
537,1987,,,,
538,1987,,,,
539,1988,,,,
540,1988,,,,
541,1988,,,,
542,1988,,,,
543,1988,,,,
544,1988,,,,
545,1988,,,,
546,1988,,,,
547,1988,,,,
548,1988,,,,
549,1988,,,,
550,1988,,,,
551,1988,,,,
552,1988,,,,
553,1988,,,,
554,1988,,,,
555,1988,,,,
556,1988,,,,
557,1988,,,,
558,1988,,,,
559,1988,,,,
560,1989,,,,
561,1989,,,,
562,1989,,,,
563,1989,,,,
564,1989,,,,
565,1989,,,,
566,1989,,,,
567,1989,,,,
568,1989,,,,
569,1989,,,,
570,1989,,,,
571,1989,,,,
572,1989,,,,
573,1989,,,,
574,1989,,,,
575,1989,,,,
576,1989,,,,
577,1989,,,,
578,1989,,,,
579,1989,,,,
580,1989,,,,
581,1989,,,,
582,1990,,,,
583,1990,,,,
584,1990,,,,
585,1990,,,,
586,1990,,,,
587,1990,,,,
588,1990,,,,
589,1990,,,,
590,1990,,,,
591,1990,,,,
592,1990,,,,
593,1990,,,,
594,1990,,,,
595,1990,,,,
596,1990,,,,
597,1990,,,,
598,1990,,,,
599,1990,,,,
600,1990,,,,
601,1990,,,,
602,1990,,,,
603,1990,,,,
604,1991,,,,
605,1991,,,,
606,1991,,,,
607,1991,,,,
608,1991,,,,
609,1991,,,,
610,1991,,,,
611,1991,,,,
612,1991,,,,
613,1991,,,,
614,1991,,,,
615,1991,,,,
616,1991,,,,
617,1991,,,,
618,1991,,,,
619,1991,,,,
620,1991,,,,
621,1991,,,,
622,1991,,,,
623,1991,,,,
624,1991,,,,
625,1991,,,,
626,1992,,,,
627,1992,,,,
628,1992,,,,
629,1992,,,,
630,1992,,,,
631,1992,,,,
632,1992,,,,
633,1992,,,,
634,1992,,,,
635,1992,,,,
636,1992,,,,
637,1992,,,,
638,1992,,,,
639,1992,,,,
640,1992,,,,
641,1992,,,,
642,1992,,,,
643,1992,,,,
644,1992,,,,
645,1992,,,,
646,1992,,,,
647,1992,,,,
648,1992,,,,
649,1993,,,,
650,1993,,,,
651,1993,,,,
652,1993,,,,
653,1993,,,,
654,1993,,,,
655,1993,,,,
656,1993,,,,
657,1993,,,,
658,1993,,,,
659,1993,,,,
660,1993,,,,
661,1993,,,,
662,1993,,,,
663,1993,,,,
664,1993,,,,
665,1993,,,,
666,1993,,,,
667,1993,,,,
668,1993,,,,
669,1993,,,,
670,1993,,,,
671,1993,,,,
672,1993,,,,
673,1993,,,,
674,1994,,,,
675,1994,,,,
676,1994,,,,
677,1994,,,,
678,1994,,,,
679,1994,,,,
680,1994,,,,
681,1994,,,,
682,1994,,,,
683,1994,,,,
684,1994,,,,
685,1994,,,,
686,1994,,,,
687,1994,,,,
688,1994,,,,
689,1994,,,,
690,1994,,,,
691,1994,,,,
692,1994,,,,
693,1994,,,,
694,1994,,,,
695,1994,,,,
696,1994,,,,
697,1994,,,,
698,1994,,,,
699,1995,,,,
700,1995,,,,
701,1995,,,,
702,1995,,,,
703,1995,,,,
704,1995,,,,
705,1995,,,,
706,1995,,,,
707,1995,,,,
708,1995,,,,
709,1995,,,,
710,1995,,,,
711,1995,,,,
712,1995,,,,
713,1995,,,,
714,1995,,,,
715,1995,,,,
716,1995,,,,
717,1995,,,,
718,1995,,,,
719,1995,,,,
720,1995,,,,
721,1995,,,,
722,1996,,,,
723,1996,,,,
724,1996,,,,
725,1996,,,,
726,1996,,,,
727,1996,,,,
728,1996,,,,
729,1996,,,,
730,1996,,,,
731,1996,,,,
732,1996,,,,
733,1996,,,,
734,1996,,,,
735,1996,,,,
736,1996,,,,
737,1996,,,,
738,1996,,,,
739,1996,,,,
740,1996,,,,
741,1996,,,,
742,1996,,,,
743,1996,,,,
744,1996,,,,
745,1997,,,,
746,1997,,,,
747,1997,,,,
748,1997,,,,
749,1997,,,,
750,1997,,,,
751,1997,,,,
752,1997,,,,
753,1997,,,,
754,1997,,,,
755,1997,,,,
756,1997,,,,
757,1997,,,,
758,1997,,,,
759,1997,,,,
760,1997,,,,
761,1997,,,,
762,1997,,,,
763,1997,,,,
764,1997,,,,
765,1997,,,,
766,1997,,,,
767,1997,,,,
768,1997,,,,
769,1997,,,,
770,1998,,,,
771,1998,,,,
772,1998,,,,
773,1998,,,,
774,1998,,,,
775,1998,,,,
776,1998,,,,
777,1998,,,,
778,1998,,,,
779,1998,,,,
780,1998,,,,
781,1998,,,,
782,1998,,,,
783,1998,,,,
784,1998,,,,
785,1998,,,,
786,1998,,,,
787,1998,,,,
788,1998,,,,
789,1998,,,,
790,1998,,,,
791,1998,,,,
792,1998,,,,
793,1998,,,,
794,1998,,,,
795,1999,,,,
796,1999,,,,
797,1999,,,,
798,1999,,,,
799,1999,,,,
800,1999,,,,
801,1999,,,,
802,1999,,,,
803,1999,,,,
804,1999,,,,
805,1999,,,,
806,1999,,,,
807,1999,,,,
808,1999,,,,
809,1999,,,,
810,1999,,,,
811,1999,,,,
812,1999,,,,
813,1999,,,,
814,1999,,,,
815,1999,,,,
816,1999,,,,
817,1999,,,,
818,2000,,,,
819,2000,,,,
820,2000,,,,
821,2000,,,,
822,2000,,,,
823,2000,,,,
824,2000,,,,
825,2000,,,,
826,2000,,,,
827,2000,,,,
828,2000,,,,
829,2000,,,,
830,2000,,,,
831,2000,,,,
832,2000,,,,
833,2000,,,,
834,2000,,,,
835,2000,,,,
836,2000,,,,
837,2000,,,,
838,2000,,,,
839,2000,,,,
840,2000,,,,
841,2000,,,,
842,2001,,,,
843,2001,,,,
844,2001,,,,
845,2001,,,,
846,2001,,,,
847,2001,,,,
848,2001,,,,
849,2001,,,,
850,2001,,,,
851,2001,,,,
852,2001,,,,
853,2001,,,,
854,2001,,,,
855,2001,,,,
856,2001,,,,
857,2001,,,,
858,2001,,,,
859,2001,,,,
860,2001,,,,
861,2001,,,,
862,2001,,,,
863,2001,,,,
864,2001,,,,
865,2002,,,,
866,2002,,,,
867,2002,,,,
868,2002,,,,
869,2002,,,,
870,2002,,,,
871,2002,,,,
872,2002,,,,
873,2002,,,,
874,2002,,,,
875,2002,,,,
876,2002,,,,
877,2002,,,,
878,2002,,,,
879,2002,,,,
880,2002,,,,
881,2002,,,,
882,2002,,,,
883,2002,,,,
884,2002,,,,
885,2002,,,,
886,2002,,,,
887,2002,,,,
888,2002,,,,
889,2003,,,,
890,2003,,,,
891,2003,,,,
892,2003,,,,
893,2003,,,,
894,2003,,,,
895,2003,,,,
896,2003,,,,
897,2003,,,,
898,2003,,,,
899,2003,,,,
900,2003,,,,
901,2003,,,,
902,2003,,,,
903,2003,,,,
904,2003,,,,
905,2003,,,,
906,2003,,,,
907,2003,,,,
908,2003,,,,
909,2003,,,,
910,2003,,,,
911,2003,,,,
912,2003,,,,
913,2003,,,,
914,2003,,,,
915,2004,,,,
916,2004,,,,
917,2004,,,,
918,2004,,,,
919,2004,,,,
920,2004,,,,
921,2004,,,,
922,2004,,,,
923,2004,,,,
924,2004,,,,
925,2004,,,,
926,2004,,,,
927,2004,,,,
928,2004,,,,
929,2004,,,,
930,2004,,,,
931,2004,,,,
932,2004,,,,
933,2004,,,,
934,2004,,,,
935,2004,,,,
936,2004,,,,
937,2004,,,,
938,2004,,,,
939,2004,,,,
940,2004,,,,
941,2004,,,,
942,2004,,,,
943,2004,,,,
944,2004,,,,
945,2004,,,,
946,2004,,,,
947,2004,,,,
948,2004,,,,
949,2004,,,,
950,2004,,,,
951,2005,,,,
952,2005,,,,
953,2005,,,,
954,2005,,,,
955,2005,,,,
956,2005,,,,
957,2005,,,,
958,2005,,,,
959,2005,,,,
960,2005,,,,
961,2005,,,,
962,2005,,,,
963,2005,,,,
964,2005,,,,
965,2005,,,,
966,2005,,,,
967,2005,,,,
968,2005,,,,
969,2005,,,,
970,2005,,,,
971,2005,,,,
972,2005,,,,
973,2005,,,,
974,2005,,,,
975,2005,,,,
976,2005,,,,
977,2005,,,,
978,2005,,,,
979,2005,,,,
980,2005,,,,
981,2005,,,,
982,2005,,,,
983,2005,,,,
984,2005,,,,
985,2005,,,,
986,2005,,,,
987,2005,,,,
988,2005,,,,
989,2005,,,,
990,2006,,,,
991,2006,,,,
992,2006,,,,
993,2006,,,,
994,2006,,,,
995,2006,,,,
996,2006,,,,
997,2006,,,,
998,2006,,,,
999,2006,,,,
1000,2006,,,,
1001,2006,,,,
1002,2006,,,,
1003,2006,,,,
1004,2006,,,,
1005,2006,,,,
1006,2006,,,,
1007,2006,,,,
1008,2006,,,,
1009,2006,,,,
1010,2006,,,,
1011,2006,,,,
1012,2006,,,,
1013,2006,,,,
1014,2006,,,,
1015,2006,,,,
1016,2006,,,,
1017,2006,,,,
1018,2006,,,,
1019,2006,,,,
1020,2006,,,,
1021,2006,,,,
